symbol,direction,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_type,pnl_net,roi_pct,duration_hours
ADA/USDT,SHORT,2025-11-03 16:00:00,0.5593,0.5620965,0.5537070000000001,2025-11-03 17:00:00,0.5620965,SL,-5.999999999999964,-5.999999999999964,1
ARB/USDT,SHORT,2025-11-03 16:00:00,0.2665,0.2678325,0.263835,2025-11-03 17:00:00,0.2678325,SL,-5.999999999999845,-5.999999999999845,1
APT/USDT,SHORT,2025-11-03 16:00:00,2.8829,2.8973144999999993,2.854071,2025-11-03 17:00:00,2.8973144999999993,SL,-5.999999999999845,-5.999999999999845,1
ADA/USDT,SHORT,2025-11-04 21:00:00,0.5104,0.512952,0.505296,2025-11-04 22:00:00,0.512952,SL,-5.999999999999997,-5.999999999999997,1
APT/USDT,SHORT,2025-11-04 21:00:00,2.4905,2.5029524999999997,2.465595,2025-11-04 22:00:00,2.5029524999999997,SL,-5.999999999999902,-5.999999999999902,1
FIL/USDT,SHORT,2025-11-06 06:00:00,1.325,1.3316249999999998,1.31175,2025-11-06 07:00:00,1.3316249999999998,SL,-5.999999999999911,-5.999999999999911,1
DOGE/USDT,SHORT,2025-11-06 15:00:00,0.15907,0.15986534999999996,0.1574793,2025-11-06 16:00:00,0.15986534999999996,SL,-5.999999999999828,-5.999999999999828,1
TRX/USDT,SHORT,2025-11-06 15:00:00,0.28224,0.28365119999999994,0.2794176,2025-11-06 17:00:00,0.28365119999999994,SL,-5.999999999999808,-5.999999999999808,2
DOT/USDT,LONG,2025-11-07 01:00:00,2.769,2.7551550000000002,2.7966900000000003,2025-11-07 02:00:00,2.7551550000000002,SL,-5.999999999999958,-5.999999999999958,1
APT/USDT,LONG,2025-11-07 01:00:00,2.8361,2.8219195,2.864461,2025-11-07 02:00:00,2.864461,TP,8.99999999999995,8.99999999999995,1
OP/USDT,LONG,2025-11-07 06:00:00,0.3797,0.37780149999999996,0.383497,2025-11-07 07:00:00,0.37780149999999996,SL,-6.000000000000067,-6.000000000000067,1
FIL/USDT,LONG,2025-11-07 06:00:00,2.163,2.152185,2.18463,2025-11-07 07:00:00,2.152185,SL,-6.00000000000001,-6.00000000000001,1
OP/USDT,LONG,2025-11-07 09:00:00,0.3848,0.382876,0.388648,2025-11-07 10:00:00,0.382876,SL,-5.999999999999951,-5.999999999999951,1
FIL/USDT,LONG,2025-11-07 10:00:00,2.236,2.2248200000000002,2.25836,2025-11-07 11:00:00,2.2248200000000002,SL,-5.999999999999986,-5.999999999999986,1
DOT/USDT,LONG,2025-11-08 05:00:00,3.328,3.3113599999999996,3.36128,2025-11-08 06:00:00,3.3113599999999996,SL,-6.000000000000063,-6.000000000000063,1
ARB/USDT,SHORT,2025-11-11 14:00:00,0.2908,0.29225399999999996,0.287892,2025-11-11 15:00:00,0.287892,TP,9.000000000000075,9.000000000000075,1
ADA/USDT,SHORT,2025-11-11 19:00:00,0.562,0.56481,0.5563800000000001,2025-11-11 21:00:00,0.5563800000000001,TP,8.999999999999925,8.999999999999925,2
DOT/USDT,SHORT,2025-11-12 16:00:00,2.903,2.917515,2.87397,2025-11-12 17:00:00,2.917515,SL,-5.999999999999943,-5.999999999999943,1
ADA/USDT,SHORT,2025-11-13 16:00:00,0.5417,0.5444084999999999,0.536283,2025-11-13 17:00:00,0.536283,TP,9.00000000000001,9.00000000000001,1
LINK/USDT,SHORT,2025-11-13 16:00:00,15.007,15.082034999999998,14.85693,2025-11-13 17:00:00,14.85693,TP,8.999999999999966,8.999999999999966,1
DOGE/USDT,SHORT,2025-11-16 16:00:00,0.15622,0.15700109999999998,0.15465779999999998,2025-11-16 17:00:00,0.15465779999999998,TP,9.000000000000087,9.000000000000087,1
FIL/USDT,SHORT,2025-11-16 16:00:00,1.918,1.9275899999999997,1.89882,2025-11-16 17:00:00,1.89882,TP,8.999999999999988,8.999999999999988,1
ARB/USDT,SHORT,2025-11-16 16:00:00,0.2323,0.2334615,0.22997700000000001,2025-11-16 17:00:00,0.22997700000000001,TP,8.999999999999964,8.999999999999964,1
OP/USDT,SHORT,2025-11-17 19:00:00,0.3597,0.3614985,0.356103,2025-11-17 20:00:00,0.3614985,SL,-5.999999999999947,-5.999999999999947,1
ARB/USDT,SHORT,2025-11-17 19:00:00,0.2242,0.225321,0.22195800000000002,2025-11-17 20:00:00,0.225321,SL,-5.9999999999999245,-5.9999999999999245,1
APT/USDT,SHORT,2025-11-17 19:00:00,2.7153,2.7288764999999997,2.688147,2025-11-17 20:00:00,2.688147,TP,9.000000000000075,9.000000000000075,1
FIL/USDT,LONG,2025-11-18 02:00:00,2.11,2.09945,2.1311,2025-11-18 03:00:00,2.09945,SL,-5.999999999999923,-5.999999999999923,1
LINK/USDT,SHORT,2025-11-19 17:00:00,12.957,13.021785,12.827430000000001,2025-11-19 18:00:00,12.827430000000001,TP,8.999999999999945,8.999999999999945,1
ARB/USDT,SHORT,2025-11-19 17:00:00,0.223,0.22411499999999998,0.22077,2025-11-19 18:00:00,0.22077,TP,9.000000000000044,9.000000000000044,1
ADA/USDT,SHORT,2025-11-21 03:00:00,0.4298,0.43194899999999997,0.425502,2025-11-21 04:00:00,0.425502,TP,9.000000000000055,9.000000000000055,1
ADA/USDT,SHORT,2025-11-22 13:00:00,0.3933,0.39526649999999997,0.38936699999999996,2025-11-22 14:00:00,0.39526649999999997,SL,-5.999999999999955,-5.999999999999955,1
DOT/USDT,SHORT,2025-11-25 14:00:00,2.204,2.21502,2.18196,2025-11-25 15:00:00,2.21502,SL,-5.999999999999912,-5.999999999999912,1
LINK/USDT,LONG,2025-11-26 17:00:00,13.364,13.29718,13.49764,2025-11-26 18:00:00,13.49764,TP,8.99999999999998,8.99999999999998,1
APT/USDT,SHORT,2025-11-28 05:00:00,2.2026,2.2136129999999996,2.180574,2025-11-28 08:00:00,2.2136129999999996,SL,-5.999999999999872,-5.999999999999872,3
